Ticker,Date,VolumeThresholdPercent,PricePercent,ActualVolumePercentChange,RVOL,Volume,AverageVolume,Open,Close,CandleColor,CandleDirection,CandleChangePercent,DirectionTriggered
VTI,2021-07-19,50,,94.86,1.9486,6966200,3574900.0,219.81,219.23,RED,DOWN,-0.26,DOWN
VTI,2021-09-20,50,,137.97,2.3797,7749300,3256460.0,225.51,225.07,RED,DOWN,-0.2,DOWN
VTI,2021-09-20,100,,137.97,2.3797,7749300,3256460.0,225.51,225.07,RED,DOWN,-0.2,DOWN
VTI,2021-09-28,50,,51.22,1.5122,5078600,3358440.0,227.65,224.34,RED,DOWN,-1.45,DOWN
VTI,2021-09-30,50,,53.71,1.5371,5080200,3305140.0,225.35,222.06,RED,DOWN,-1.46,DOWN
VTI,2021-10-01,50,,53.42,1.5342,5148600,3355894.0,223.1,225.12,GREEN,UP,0.91,UP
VTI,2021-11-26,50,,69.16,1.6916,5730300,3387560.0,237.24,235.99,RED,DOWN,-0.53,DOWN
VTI,2021-11-30,50,,107.46,2.0746,7231400,3485642.0,236.99,233.45,RED,DOWN,-1.49,DOWN
VTI,2021-11-30,100,,107.46,2.0746,7231400,3485642.0,236.99,233.45,RED,DOWN,-1.49,DOWN
VTI,2021-12-01,50,,51.78,1.5178,5274700,3475284.0,236.41,230.16,RED,DOWN,-2.64,DOWN
VTI,2021-12-03,50,,66.77,1.6677,5821900,3490892.0,234.83,231.19,RED,DOWN,-1.55,DOWN
VTI,2021-12-13,50,,68.52,1.6852,5839100,3464838.0,239.5,237.35,RED,DOWN,-0.9,DOWN
VTI,2021-12-20,50,,67.2,1.672,5839800,3492704.0,232.1,232.13,GREEN,UP,0.01,UP
VTI,2022-01-10,50,,50.09,1.5009,5819600,3877528.0,234.21,235.7,GREEN,UP,0.64,UP
VTI,2022-01-18,50,,64.61,1.6461,6511600,3955712.0,232.5,230.45,RED,DOWN,-0.88,DOWN
VTI,2022-01-21,50,,110.91,2.1091,8582600,4069252.0,224.62,220.91,RED,DOWN,-1.65,DOWN
VTI,2022-01-21,100,,110.91,2.1091,8582600,4069252.0,224.62,220.91,RED,DOWN,-1.65,DOWN
VTI,2022-01-24,50,,425.71,5.2571,22004300,4185622.0,217.99,222.33,GREEN,UP,1.99,UP
VTI,2022-01-24,100,,425.71,5.2571,22004300,4185622.0,217.99,222.33,GREEN,UP,1.99,UP
VTI,2022-01-24,150,,425.71,5.2571,22004300,4185622.0,217.99,222.33,GREEN,UP,1.99,UP
VTI,2022-01-24,200,,425.71,5.2571,22004300,4185622.0,217.99,222.33,GREEN,UP,1.99,UP
VTI,2022-01-26,50,,52.77,1.5277,7096400,4645044.0,222.72,218.37,RED,DOWN,-1.95,DOWN
VTI,2022-02-22,50,,59.68,1.5968,7748900,4852790.0,218.11,216.85,RED,DOWN,-0.58,DOWN
VTI,2022-02-23,50,,55.22,1.5522,7684500,4950692.0,218.57,212.86,RED,DOWN,-2.61,DOWN
VTI,2022-02-24,50,,107.26,2.0726,10471000,5052166.0,207.64,216.59,GREEN,UP,4.31,UP
VTI,2022-02-24,100,,107.26,2.0726,10471000,5052166.0,207.64,216.59,GREEN,UP,4.31,UP
VTI,2022-03-07,50,,54.14,1.5414,7953400,5159878.0,217.68,211.24,RED,DOWN,-2.96,DOWN
VTI,2022-04-25,50,,102.6,2.026,9271800,4576384.0,213.07,215.39,GREEN,UP,1.09,UP
VTI,2022-04-25,100,,102.6,2.026,9271800,4576384.0,213.07,215.39,GREEN,UP,1.09,UP
VTI,2022-04-29,50,,54.95,1.5495,7330500,4730928.0,212.9,206.88,RED,DOWN,-2.83,DOWN
VTI,2022-05-02,50,,122.34,2.2234,10630500,4781290.0,207.15,208.44,GREEN,UP,0.62,UP
VTI,2022-05-02,100,,122.34,2.2234,10630500,4781290.0,207.15,208.44,GREEN,UP,0.62,UP
VTI,2022-05-09,50,,108.41,2.0841,9551400,4583022.0,203.0,198.65,RED,DOWN,-2.14,DOWN
VTI,2022-05-09,100,,108.41,2.0841,9551400,4583022.0,203.0,198.65,RED,DOWN,-2.14,DOWN
VTI,2022-05-10,50,,62.44,1.6244,7605000,4681748.0,201.89,199.05,RED,DOWN,-1.41,DOWN
VTI,2022-05-12,50,,66.58,1.6658,7964900,4781462.0,194.06,195.66,GREEN,UP,0.82,UP
VTI,2022-06-13,50,,128.07,2.2807,10468300,4590046.0,190.65,187.45,RED,DOWN,-1.68,DOWN
VTI,2022-06-13,100,,128.07,2.2807,10468300,4590046.0,190.65,187.45,RED,DOWN,-1.68,DOWN
VTI,2022-06-16,50,,70.47,1.7047,8225100,4824874.0,185.38,183.02,RED,DOWN,-1.27,DOWN
VTI,2022-09-06,50,,65.99,1.6599,5382900,3242896.0,197.47,195.91,RED,DOWN,-0.79,DOWN
VTI,2022-09-13,50,,67.43,1.6743,5190300,3099922.0,201.97,197.77,RED,DOWN,-2.08,DOWN
VTI,2022-09-16,50,,59.91,1.5991,4966100,3105612.0,194.47,194.63,GREEN,UP,0.08,UP
VTI,2022-09-22,50,,66.55,1.6655,5279700,3170104.0,190.11,188.29,RED,DOWN,-0.96,DOWN
VTI,2022-09-23,50,,157.07,2.5707,8249900,3209250.0,185.53,184.26,RED,DOWN,-0.68,DOWN
VTI,2022-09-23,100,,157.07,2.5707,8249900,3209250.0,185.53,184.26,RED,DOWN,-0.68,DOWN
VTI,2022-09-23,150,,157.07,2.5707,8249900,3209250.0,185.53,184.26,RED,DOWN,-0.68,DOWN
VTI,2022-09-26,50,,99.67,1.9967,6603500,3307136.0,183.5,182.24,RED,DOWN,-0.69,DOWN
VTI,2022-09-27,50,,104.4,2.044,6910700,3380914.0,184.21,181.97,RED,DOWN,-1.22,DOWN
VTI,2022-09-27,100,,104.4,2.044,6910700,3380914.0,184.21,181.97,RED,DOWN,-1.22,DOWN
VTI,2022-09-28,50,,101.45,2.0145,6929100,3439644.0,182.55,185.8,GREEN,UP,1.78,UP
VTI,2022-09-28,100,,101.45,2.0145,6929100,3439644.0,182.55,185.8,GREEN,UP,1.78,UP
VTI,2022-09-29,50,,134.62,2.3462,8241100,3512476.0,184.24,181.94,RED,DOWN,-1.25,DOWN
VTI,2022-09-29,100,,134.62,2.3462,8241100,3512476.0,184.24,181.94,RED,DOWN,-1.25,DOWN
VTI,2022-09-30,50,,133.52,2.3352,8431700,3610650.0,181.56,179.47,RED,DOWN,-1.15,DOWN
VTI,2022-09-30,100,,133.52,2.3352,8431700,3610650.0,181.56,179.47,RED,DOWN,-1.15,DOWN
VTI,2022-10-03,50,,96.78,1.9678,7321600,3720698.0,181.52,184.03,GREEN,UP,1.38,UP
VTI,2022-10-04,50,,62.95,1.6295,6212800,3812782.0,187.19,189.94,GREEN,UP,1.47,UP
VTI,2022-11-01,50,,128.9,2.289,9873800,4313628.0,196.0,193.43,RED,DOWN,-1.31,DOWN
VTI,2022-11-01,100,,128.9,2.289,9873800,4313628.0,196.0,193.43,RED,DOWN,-1.31,DOWN
VTI,2022-11-09,50,,204.41,3.0441,13959600,4585738.0,190.46,187.53,RED,DOWN,-1.54,DOWN
VTI,2022-11-09,100,,204.41,3.0441,13959600,4585738.0,190.46,187.53,RED,DOWN,-1.54,DOWN
VTI,2022-11-09,150,,204.41,3.0441,13959600,4585738.0,190.46,187.53,RED,DOWN,-1.54,DOWN
VTI,2022-11-09,200,,204.41,3.0441,13959600,4585738.0,190.46,187.53,RED,DOWN,-1.54,DOWN
VTI,2022-12-19,50,,54.64,1.5464,6433800,4160472.0,192.8,190.75,RED,DOWN,-1.06,DOWN
VTI,2023-03-10,50,,84.85,1.8485,6310500,3413846.0,196.25,193.26,RED,DOWN,-1.52,DOWN
VTI,2023-03-13,50,,82.89,1.8289,6253700,3419302.0,190.9,192.46,GREEN,UP,0.82,UP
VTI,2023-06-13,50,,68.79,1.6879,4295700,2545030.0,216.78,217.44,GREEN,UP,0.3,UP
VTI,2023-06-14,50,,60.66,1.6066,4131000,2571218.0,217.55,217.44,RED,DOWN,-0.05,DOWN
VTI,2023-06-16,50,,83.73,1.8373,4763700,2592740.0,221.42,219.26,RED,DOWN,-0.98,DOWN
VTI,2023-06-28,50,,65.28,1.6528,4362100,2639266.0,216.48,216.98,GREEN,UP,0.23,UP
VTI,2023-07-13,50,,52.12,1.5212,4113300,2703940.0,223.46,224.28,GREEN,UP,0.37,UP
VTI,2023-07-27,50,,70.71,1.7071,4730600,2771192.0,228.81,225.31,RED,DOWN,-1.53,DOWN
VTI,2023-08-02,50,,50.46,1.5046,4239000,2817422.0,225.99,224.5,RED,DOWN,-0.66,DOWN
VTI,2023-09-21,50,,52.01,1.5201,4190400,2756656.0,216.36,214.09,RED,DOWN,-1.05,DOWN
VTI,2023-09-26,50,,57.64,1.5764,4371900,2773338.0,213.06,211.41,RED,DOWN,-0.77,DOWN
VTI,2023-09-27,50,,57.01,1.5701,4407300,2807012.0,212.12,211.63,RED,DOWN,-0.23,DOWN
VTI,2023-09-29,50,,56.73,1.5673,4441400,2833742.0,214.55,212.41,RED,DOWN,-1.0,DOWN
VTI,2023-10-02,50,,51.87,1.5187,4358100,2869536.0,212.2,212.13,RED,DOWN,-0.03,DOWN
VTI,2023-10-03,50,,50.79,1.5079,4389100,2910762.0,211.0,209.05,RED,DOWN,-0.92,DOWN
VTI,2023-10-23,50,,76.75,1.7675,5473000,3096520.0,207.67,207.9,GREEN,UP,0.11,UP
VTI,2023-11-01,50,,77.77,1.7777,5789300,3256712.0,207.14,208.86,GREEN,UP,0.83,UP
VTI,2023-12-14,50,,50.14,1.5014,5014500,3339860.0,235.66,235.63,RED,DOWN,-0.01,DOWN
VTI,2023-12-20,50,,50.02,1.5002,5149700,3432636.0,237.74,234.51,RED,DOWN,-1.36,DOWN
VTI,2024-02-13,50,,62.65,1.6265,5832600,3586024.0,245.61,245.15,RED,DOWN,-0.19,DOWN
VTI,2024-04-15,50,,51.43,1.5143,4804300,3172664.0,255.0,249.89,RED,DOWN,-2.0,DOWN
VTI,2024-05-23,50,,128.63,2.2863,6603000,2888048.0,263.86,259.99,RED,DOWN,-1.47,DOWN
VTI,2024-05-23,100,,128.63,2.2863,6603000,2888048.0,263.86,259.99,RED,DOWN,-1.47,DOWN
VTI,2024-06-03,50,,108.95,2.0895,6203400,2968782.0,261.66,260.52,RED,DOWN,-0.44,DOWN
VTI,2024-06-03,100,,108.95,2.0895,6203400,2968782.0,261.66,260.52,RED,DOWN,-0.44,DOWN
VTI,2024-07-02,50,,56.16,1.5616,4207800,2694510.0,267.46,269.6,GREEN,UP,0.8,UP
VTI,2024-07-05,50,,57.76,1.5776,4237500,2686016.0,270.82,272.12,GREEN,UP,0.48,UP
VTI,2024-08-02,50,,65.47,1.6547,4744200,2867128.0,264.5,262.9,RED,DOWN,-0.6,DOWN
VTI,2024-08-05,50,,190.12,2.9012,8463400,2917174.0,251.21,255.18,GREEN,UP,1.58,UP
VTI,2024-08-05,100,,190.12,2.9012,8463400,2917174.0,251.21,255.18,GREEN,UP,1.58,UP
VTI,2024-08-05,150,,190.12,2.9012,8463400,2917174.0,251.21,255.18,GREEN,UP,1.58,UP
VTI,2024-08-06,50,,72.91,1.7291,5255200,3039310.0,256.57,257.77,GREEN,UP,0.47,UP
VTI,2024-10-01,50,,73.08,1.7308,4874900,2816506.0,283.0,280.58,RED,DOWN,-0.86,DOWN
VTI,2024-10-07,50,,300.9,4.009,11465600,2859940.0,282.04,280.17,RED,DOWN,-0.66,DOWN
VTI,2024-10-07,100,,300.9,4.009,11465600,2859940.0,282.04,280.17,RED,DOWN,-0.66,DOWN
VTI,2024-10-07,150,,300.9,4.009,11465600,2859940.0,282.04,280.17,RED,DOWN,-0.66,DOWN
VTI,2024-10-07,200,,300.9,4.009,11465600,2859940.0,282.04,280.17,RED,DOWN,-0.66,DOWN
VTI,2024-11-06,50,,109.25,2.0925,5676800,2712926.0,292.3,293.28,GREEN,UP,0.34,UP
VTI,2024-11-06,100,,109.25,2.0925,5676800,2712926.0,292.3,293.28,GREEN,UP,0.34,UP
VTI,2024-12-19,50,,75.65,1.7565,4826200,2747576.0,292.99,289.98,RED,DOWN,-1.03,DOWN
VTI,2024-12-30,50,,69.7,1.697,4968500,2927794.0,290.88,290.82,RED,DOWN,-0.02,DOWN
VTI,2025-01-27,50,,68.99,1.6899,5321300,3148952.0,295.0,297.1,GREEN,UP,0.71,UP
VTI,2025-02-03,50,,59.91,1.5991,5037700,3150424.0,293.32,296.42,GREEN,UP,1.06,UP
VTI,2025-03-03,50,,134.8,2.348,7835600,3337074.0,293.91,287.71,RED,DOWN,-2.11,DOWN
VTI,2025-03-03,100,,134.8,2.348,7835600,3337074.0,293.91,287.71,RED,DOWN,-2.11,DOWN
VTI,2025-03-04,50,,87.33,1.8733,6449600,3442878.0,285.2,284.12,RED,DOWN,-0.38,DOWN
VTI,2025-03-10,50,,83.72,1.8372,6442900,3506936.0,279.43,275.62,RED,DOWN,-1.36,DOWN
VTI,2025-03-31,50,,73.98,1.7398,6064000,3485498.0,270.27,274.84,GREEN,UP,1.69,UP
VTI,2025-04-03,50,,130.42,2.3042,8137500,3531530.0,268.01,263.96,RED,DOWN,-1.51,DOWN
VTI,2025-04-03,100,,130.42,2.3042,8137500,3531530.0,268.01,263.96,RED,DOWN,-1.51,DOWN
VTI,2025-04-04,50,,358.99,4.5899,16633700,3623966.0,256.97,248.47,RED,DOWN,-3.31,DOWN
VTI,2025-04-04,100,,358.99,4.5899,16633700,3623966.0,256.97,248.47,RED,DOWN,-3.31,DOWN
VTI,2025-04-04,150,,358.99,4.5899,16633700,3623966.0,256.97,248.47,RED,DOWN,-3.31,DOWN
VTI,2025-04-04,200,,358.99,4.5899,16633700,3623966.0,256.97,248.47,RED,DOWN,-3.31,DOWN
VTI,2025-04-07,50,,318.75,4.1875,16346700,3903684.0,240.0,247.66,GREEN,UP,3.19,UP
VTI,2025-04-07,100,,318.75,4.1875,16346700,3903684.0,240.0,247.66,GREEN,UP,3.19,UP
VTI,2025-04-07,150,,318.75,4.1875,16346700,3903684.0,240.0,247.66,GREEN,UP,3.19,UP
VTI,2025-04-07,200,,318.75,4.1875,16346700,3903684.0,240.0,247.66,GREEN,UP,3.19,UP
VTI,2025-04-08,50,,164.48,2.6448,11064300,4183438.0,256.5,243.75,RED,DOWN,-4.97,DOWN
VTI,2025-04-08,100,,164.48,2.6448,11064300,4183438.0,256.5,243.75,RED,DOWN,-4.97,DOWN
VTI,2025-04-08,150,,164.48,2.6448,11064300,4183438.0,256.5,243.75,RED,DOWN,-4.97,DOWN
VTI,2025-04-09,50,,182.39,2.8239,12138000,4298298.0,241.85,268.48,GREEN,UP,11.01,UP
VTI,2025-04-09,100,,182.39,2.8239,12138000,4298298.0,241.85,268.48,GREEN,UP,11.01,UP
VTI,2025-04-09,150,,182.39,2.8239,12138000,4298298.0,241.85,268.48,GREEN,UP,11.01,UP
VTI,2025-04-10,50,,61.72,1.6172,7255700,4486712.0,261.11,257.43,RED,DOWN,-1.41,DOWN
VTI,2025-07-17,50,,62.15,1.6215,4953000,3054660.0,307.5,309.26,GREEN,UP,0.57,UP
VTI,2025-07-28,50,,53.66,1.5366,4797900,3122386.0,314.2,313.6,RED,DOWN,-0.19,DOWN
VTI,2025-07-30,50,,87.5,1.875,5966800,3182340.0,313.19,312.25,RED,DOWN,-0.3,DOWN
VTI,2025-08-01,50,,73.87,1.7387,5607300,3224920.0,307.98,305.74,RED,DOWN,-0.73,DOWN
VTI,2025-08-20,50,,80.49,1.8049,6190300,3429730.0,314.57,313.84,RED,DOWN,-0.23,DOWN
VTI,2025-08-27,50,,57.13,1.5713,5481300,3488440.0,317.65,318.94,GREEN,UP,0.41,UP
VTI,2025-10-01,50,,60.97,1.6097,5983100,3716836.0,326.93,329.31,GREEN,UP,0.73,UP
VTI,2025-10-10,50,,107.5,2.075,7886700,3800880.0,331.16,321.8,RED,DOWN,-2.83,DOWN
VTI,2025-10-10,100,,107.5,2.075,7886700,3800880.0,331.16,321.8,RED,DOWN,-2.83,DOWN
VTI,2025-10-14,50,,64.15,1.6415,6307300,3842286.0,323.9,326.83,GREEN,UP,0.9,UP
VTI,2025-10-22,50,,84.23,1.8423,7357900,3993892.0,331.18,328.9,RED,DOWN,-0.69,DOWN
VTI,2026-01-06,50,,56.68,1.5668,6054500,3864140.0,338.99,341.21,GREEN,UP,0.65,UP
VTI,2026-01-07,50,,68.86,1.6886,6629600,3926116.0,341.36,340.05,RED,DOWN,-0.38,DOWN
VTI,2026-01-08,50,,70.72,1.7072,6800000,3983106.0,339.77,340.14,GREEN,UP,0.11,UP
VTI,2026-01-09,50,,70.96,1.7096,6854100,4009184.0,340.85,342.4,GREEN,UP,0.45,UP
